image,age_1d_edge_hit_pct,age_3d_edge_hit_pct,age_7d_edge_hit_pct,age_14d_edge_hit_pct,age_21d_edge_hit_pct,age_28d_edge_hit_pct
14d_1000x,99.95,99.95,99.95,99.95,99.95,99.95
14d_2000x,99.98,99.98,99.98,99.98,99.98,99.98
14d_5000x,99.29,99.29,99.29,99.29,99.29,99.29
14d_10000x,99.67,99.67,99.67,99.67,99.67,99.67
14d_30000x,69.33,69.33,69.33,69.33,69.33,69.33
28d_1000x,98.53,98.53,98.53,98.53,98.53,98.53
28d_2000x,98.11,98.11,98.11,98.11,98.11,98.11
28d_5000x,98.58,98.58,98.58,98.58,98.58,98.58
28d_10000x,98.88,98.88,98.88,98.88,98.88,98.88
28d_30000x,77.91,77.91,77.91,77.91,77.91,77.91
